iter	Passed	Remaining
406	6423	9358
407	6433	9335
408	6447	9317
409	6466	9305
410	6483	9291
411	6496	9271
412	6510	9254
413	6525	9236
414	6542	9222
415	6557	9206
416	6575	9192
417	6589	9175
418	6596	9146
419	6608	9126
420	6633	9122
421	6656	9116
422	6669	9098
423	6686	9083
424	6691	9052
425	6702	9030
426	6717	9013
427	6731	8996
428	6747	8981
429	6761	8962
430	6777	8947
431	6791	8929
432	6810	8917
433	6827	8904
434	6846	8892
435	6865	8881
436	6884	8868
437	6897	8850
438	6910	8831
439	6921	8809
440	6936	8792
441	6951	8775
442	6966	8759
443	6983	8744
444	6995	8724
445	7011	8709
446	7025	8690
447	7055	8693
448	7071	8677
449	7088	8663
450	7103	8646
451	7114	8625
452	7135	8616
453	7152	8601
454	7167	8585
455	7183	8569
456	7195	8550
457	7207	8529
458	7226	8517
459	7243	8503
460	7263	8492
461	7281	8478
462	7297	8463
463	7311	8446
464	7328	8431
465	7342	8414
466	7359	8399
467	7372	8380
468	7387	8363
469	7402	8347
470	7416	8329
471	7424	8305
472	7439	8289
473	7456	8274
474	7475	8262
475	7497	8253
476	7513	8237
477	7527	8220
478	7541	8202
479	7557	8186
480	7568	8166
481	7582	8148
482	7598	8133
483	7609	8112
484	7626	8097
485	7639	8079
486	7657	8065
487	7672	8049
488	7688	8034
489	7700	8015
490	7714	7997
491	7727	7979
492	7740	7960
493	7756	7944
494	7767	7924
495	7780	7905
496	7795	7889
497	7812	7875
498	7829	7861
499	7845	7845
500	7859	7828
501	7874	7811
502	7891	7797
503	7910	7785
504	7927	7770
505	7944	7755
506	7958	7738
507	7971	7720
508	7985	7703
509	8001	7687
510	8013	7668
511	8029	7653
512	8044	7636
513	8055	7616
514	8068	7598
515	8083	7581
516	8101	7568
517	8126	7561
518	8144	7547
519	8155	7528
520	8167	7509
521	8179	7489
522	8194	7473
523	8210	7458
524	8224	7441
525	8239	7424
526	8251	7405
527	8265	7388
528	8280	7372
529	8306	7365
530	8345	7370
531	8359	7353
532	8369	7333
533	8383	7315
534	8397	7299
535	8413	7283
536	8430	7268
537	8442	7250
538	8456	7232
539	8468	7213
540	8482	7197
541	8498	7181
542	8516	7167
543	8533	7153
544	8545	7134
545	8549	7108
546	8562	7090
547	8573	7071
548	8588	7055
549	8602	7038
550	8619	7024
551	8637	7009
552	8650	6992
553	8663	6974
554	8677	6957
555	8692	6941
556	8709	6926
557	8726	6912
558	8744	6898
559	8760	6883
560	8775	6867
561	8790	6851
562	8806	6835
563	8820	6818
564	8836	6803
565	8848	6784
566	8860	6766
567	8874	6749
568	8886	6731
569	8909	6721
570	8924	6704
571	8940	6690
572	8956	6674
573	8972	6658
574	8987	6642
575	9000	6625
576	9017	6610
577	9033	6595
578	9045	6576
579	9056	6558
580	9068	6540
581	9079	6521
582	9093	6504
583	9109	6489
584	9130	6476
585	9145	6461
586	9159	6444
587	9171	6426
588	9182	6407
589	9197	6391
590	9212	6375
591	9229	6361
592	9242	6343
593	9255	6326
594	9271	6311
595	9285	6294
596	9299	6277
597	9314	6261
598	9326	6243
599	9341	6227
600	9356	6211
601	9369	6194
602	9381	6176
603	9398	6162
604	9414	6146
605	9432	6132
606	9446	6116
607	9461	6100
608	9476	6084
609	9493	6069
610	9507	6053
611	9523	6037
612	9542	6024
613	9553	6006
614	9566	5988
615	9577	5970
616	9593	5955
617	9606	5938
618	9623	5923
619	9630	5902
620	9644	5885
621	9656	5868
622	9670	5851
623	9686	5836
624	9700	5820
625	9714	5804
626	9733	5790
627	9749	5774
628	9767	5761
629	9781	5744
630	9797	5729
631	9811	5713
632	9825	5696
633	9841	5681
