iter	Logloss
0	0.6734296163
1	0.6584825516
2	0.6397951126
3	0.6221286774
4	0.6050802231
5	0.5901415507
6	0.5747334798
7	0.5609874725
8	0.5461187998
9	0.5315327962
10	0.5193611145
11	0.5061942101
12	0.4961591085
13	0.4825455348
14	0.4698640188
15	0.4568932851
16	0.4446122169
17	0.433143266
18	0.4240530014
19	0.4146553357
20	0.4035264333
21	0.3925573031
22	0.3844477971
23	0.3741123199
24	0.3649623235
25	0.3569052696
26	0.3472675323
27	0.3388142904
28	0.3311291695
29	0.3233388265
30	0.3157262802
31	0.3084093412
32	0.301657486
33	0.2952452024
34	0.2890738487
35	0.2826997121
36	0.2759789785
37	0.2690014521
38	0.2640983105
39	0.2588832219
40	0.2535258611
41	0.247714297
42	0.241979901
43	0.2378105799
44	0.2322374662
45	0.2272130807
46	0.2221102873
47	0.2171686808
48	0.2123782794
49	0.2073159218
50	0.2027139823
51	0.1985249043
52	0.1943291982
53	0.1896337032
54	0.1857620239
55	0.1822133541
56	0.1784977118
57	0.1745357513
58	0.17054286
59	0.1669911226
60	0.1633230527
61	0.1600137393
62	0.1570575555
63	0.1538973808
64	0.1509353797
65	0.1478208224
66	0.1449547768
67	0.1419932206
68	0.1392618338
69	0.1367953618
70	0.1339683533
71	0.1315465927
72	0.1288928827
73	0.1266343117
74	0.1247942607
75	0.1223522345
76	0.1203147809
77	0.1178634961
78	0.1158447822
79	0.1136280378
80	0.1114937305
81	0.1095479965
82	0.1074495633
83	0.1054231882
84	0.10351789
85	0.1018685897
86	0.0997912089
87	0.09788292249
88	0.0959654808
89	0.09445617994
90	0.09290368557
91	0.09116475582
92	0.08950695197
93	0.08843340874
94	0.08702557882
95	0.08560107549
96	0.08408110936
97	0.08244603475
98	0.08115757306
99	0.07995986938
100	0.07882397175
101	0.07743031979
102	0.07623981635
103	0.07500181198
104	0.07388291359
105	0.07269540628
106	0.07161690394
107	0.07035230001
108	0.06939209302
109	0.06850242615
110	0.06742666562
111	0.06627928416
112	0.06527636846
113	0.06442989906
114	0.06337076823
115	0.06250795523
116	0.06159651677
117	0.06067421039
118	0.05983526707
119	0.05903678338
120	0.05811574856
121	0.05728293657
122	0.05649747054
123	0.05573612452
124	0.05494250456
125	0.05422111352
126	0.05348378817
127	0.05273625056
128	0.05208184719
129	0.05133746068
130	0.05048851967
